"global_var_name","file","start_line","end_line"
"BITCOUNT_Keyspecs","/home/runner/work/redis/redis/src/commands.def",49,49
"BITFIELD_Keyspecs","/home/runner/work/redis/redis/src/commands.def",87,87
"BITFIELD_RO_Keyspecs","/home/runner/work/redis/redis/src/commands.def",157,157
"BITOP_Keyspecs","/home/runner/work/redis/redis/src/commands.def",188,188
"BITPOS_History","/home/runner/work/redis/redis/src/commands.def",216,216
"BITPOS_Keyspecs","/home/runner/work/redis/redis/src/commands.def",228,228
"GETBIT_Keyspecs","/home/runner/work/redis/redis/src/commands.def",272,272
"SETBIT_Keyspecs","/home/runner/work/redis/redis/src/commands.def",297,297
"AUTH_History","/home/runner/work/redis/redis/src/commands.def",1197,1197
"HELLO_History","/home/runner/work/redis/redis/src/commands.def",1772,1772
"PING_Tips","/home/runner/work/redis/redis/src/commands.def",1814,1814
"COPY_Keyspecs","/home/runner/work/redis/redis/src/commands.def",1900,1900
"DEL_Tips","/home/runner/work/redis/redis/src/commands.def",1922,1922
"DEL_Keyspecs","/home/runner/work/redis/redis/src/commands.def",1930,1930
"DUMP_Tips","/home/runner/work/redis/redis/src/commands.def",1949,1949
"DUMP_Keyspecs","/home/runner/work/redis/redis/src/commands.def",1956,1956
"EXISTS_History","/home/runner/work/redis/redis/src/commands.def",1970,1970
"EXISTS_Tips","/home/runner/work/redis/redis/src/commands.def",1977,1977
"EXISTS_Keyspecs","/home/runner/work/redis/redis/src/commands.def",1985,1985
"EXPIRE_History","/home/runner/work/redis/redis/src/commands.def",1999,1999
"EXPIRE_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2011,2011
"EXPIREAT_History","/home/runner/work/redis/redis/src/commands.def",2035,2035
"EXPIREAT_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2047,2047
"EXPIRETIME_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2081,2081
"KEYS_Tips","/home/runner/work/redis/redis/src/commands.def",2100,2100
"MIGRATE_History","/home/runner/work/redis/redis/src/commands.def",2120,2120
"MIGRATE_Tips","/home/runner/work/redis/redis/src/commands.def",2130,2130
"MIGRATE_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2137,2137
"MOVE_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2187,2187
"PERSIST_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2360,2360
"PEXPIRE_History","/home/runner/work/redis/redis/src/commands.def",2374,2374
"PEXPIRE_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2386,2386
"PEXPIREAT_History","/home/runner/work/redis/redis/src/commands.def",2410,2410
"PEXPIREAT_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2422,2422
"PEXPIRETIME_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2456,2456
"PTTL_History","/home/runner/work/redis/redis/src/commands.def",2470,2470
"PTTL_Tips","/home/runner/work/redis/redis/src/commands.def",2477,2477
"PTTL_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2484,2484
"RANDOMKEY_Tips","/home/runner/work/redis/redis/src/commands.def",2503,2503
"RENAME_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2529,2529
"RENAMENX_History","/home/runner/work/redis/redis/src/commands.def",2544,2544
"RENAMENX_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2556,2556
"RESTORE_History","/home/runner/work/redis/redis/src/commands.def",2571,2571
"RESTORE_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2585,2585
"SCAN_History","/home/runner/work/redis/redis/src/commands.def",2605,2605
"SCAN_Tips","/home/runner/work/redis/redis/src/commands.def",2612,2612
"SORT_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2646,2646
"SORT_RO_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2688,2688
"TOUCH_Tips","/home/runner/work/redis/redis/src/commands.def",2724,2724
"TOUCH_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2732,2732
"TTL_History","/home/runner/work/redis/redis/src/commands.def",2746,2746
"TTL_Tips","/home/runner/work/redis/redis/src/commands.def",2753,2753
"TTL_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2760,2760
"TYPE_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2784,2784
"UNLINK_Tips","/home/runner/work/redis/redis/src/commands.def",2803,2803
"UNLINK_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2811,2811
"WAIT_Tips","/home/runner/work/redis/redis/src/commands.def",2830,2830
"WAITAOF_Tips","/home/runner/work/redis/redis/src/commands.def",2856,2856
"GEOADD_History","/home/runner/work/redis/redis/src/commands.def",2878,2878
"GEOADD_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2890,2890
"GEODIST_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2930,2930
"GEOHASH_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2965,2965
"GEOPOS_Keyspecs","/home/runner/work/redis/redis/src/commands.def",2990,2990
"GEORADIUS_History","/home/runner/work/redis/redis/src/commands.def",3005,3005
"GEORADIUS_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3018,3018
"GEORADIUSBYMEMBER_History","/home/runner/work/redis/redis/src/commands.def",3068,3068
"GEORADIUSBYMEMBER_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3081,3081
"GEORADIUSBYMEMBER_RO_History","/home/runner/work/redis/redis/src/commands.def",3130,3130
"GEORADIUSBYMEMBER_RO_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3143,3143
"GEORADIUS_RO_History","/home/runner/work/redis/redis/src/commands.def",3185,3185
"GEORADIUS_RO_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3198,3198
"GEOSEARCH_History","/home/runner/work/redis/redis/src/commands.def",3241,3241
"GEOSEARCH_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3253,3253
"GEOSEARCHSTORE_History","/home/runner/work/redis/redis/src/commands.def",3333,3333
"GEOSEARCHSTORE_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3345,3345
"HDEL_History","/home/runner/work/redis/redis/src/commands.def",3424,3424
"HDEL_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3436,3436
"HEXISTS_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3461,3461
"HEXPIRE_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3486,3486
"HEXPIREAT_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3527,3527
"HEXPIRETIME_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3568,3568
"HGET_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3599,3599
"HGETALL_Tips","/home/runner/work/redis/redis/src/commands.def",3619,3619
"HGETALL_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3626,3626
"HGETDEL_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3650,3650
"HGETEX_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3681,3681
"HINCRBY_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3722,3722
"HINCRBYFLOAT_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3748,3748
"HKEYS_Tips","/home/runner/work/redis/redis/src/commands.def",3769,3769
"HKEYS_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3776,3776
"HLEN_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3800,3800
"HMGET_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3824,3824
"HMSET_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3849,3849
"HPERSIST_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3880,3880
